Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present,Year
Virginia Mason Medical Center ,WA,Healthcare Provider,1523,31/05/2022,Hacking/IT Incident,Network Server,No,2022
AU Health ,GA,Healthcare Provider,50631,27/05/2022,Hacking/IT Incident,"Electronic Medical Record, Other",Yes,2022
Sylvester Eye Care,OK,Healthcare Provider,19377,27/05/2022,Hacking/IT Incident,Electronic Medical Record,Yes,2022
"Shields Health Care Group, Inc.",MA,Business Associate,2000000,27/05/2022,Hacking/IT Incident,Network Server,Yes,2022
Finkelstein Eye Associates ,IL,Healthcare Provider,48587,27/05/2022,Hacking/IT Incident,"Electronic Medical Record, Network Server",Yes,2022
University of Chicago Medical Center,IL,Healthcare Provider,2568,27/05/2022,Hacking/IT Incident,Email,No,2022
BJC Health System,MO,Business Associate,500,27/05/2022,Hacking/IT Incident,Email,Yes,2022
"Stephen Sims, MD, PA dba North Lakes Pain Consultants",TX,Healthcare Provider,8620,27/05/2022,Hacking/IT Incident,Network Server,No,2022
Capsule,NY,Healthcare Provider,27486,27/05/2022,Hacking/IT Incident,Network Server,No,2022
John Knox Village of Florida,FL,Healthcare Provider,5000,27/05/2022,Hacking/IT Incident,Email,No,2022
NLB Corporation,MI,Health Plan,1943,26/05/2022,Hacking/IT Incident,Network Server,No,2022
Aon PLC,IL,Business Associate,129682,26/05/2022,Hacking/IT Incident,Network Server,Yes,2022
"Comstar, LLC",MA,Business Associate,68957,26/05/2022,Hacking/IT Incident,Network Server,Yes,2022
Fred Hutchinson Cancer Center,WA,Healthcare Provider,500,25/05/2022,Hacking/IT Incident,Email,No,2022
"Moyes Eye Center, PC",MO,Healthcare Provider,38000,25/05/2022,Hacking/IT Incident,Electronic Medical Record,Yes,2022
The Multiple Sclerosis Center of Atlanta,GA,Healthcare Provider,2820,25/05/2022,Hacking/IT Incident,Email,No,2022
"Family Health Care, Inc",KS,Healthcare Provider,33619,24/05/2022,Hacking/IT Incident,Network Server,No,2022
Val Verde Regional Medical Center (“VVRMC”) ,TX,Healthcare Provider,86562,24/05/2022,Hacking/IT Incident,Network Server,No,2022
Allwell Behavioral Health Services,OH,Healthcare Provider,29972,23/05/2022,Hacking/IT Incident,Network Server,No,2022
Washington University School of Medicine,MO,Health Plan,500,23/05/2022,Hacking/IT Incident,Email,No,2022
"Creative Hospice Care, Inc. dba Homestead Hospice & Palliative Care",GA,Healthcare Provider,28332,23/05/2022,Hacking/IT Incident,"Email, Laptop",No,2022
"County of Santa Barbara, Department of Behavioral Wellness",CA,Healthcare Provider,601,23/05/2022,Unauthorized Access/Disclosure,"Desktop Computer, Electronic Medical Record, Laptop",No,2022
"Oswego County Opportunities, Inc.",NY,Healthcare Provider,7766,20/05/2022,Hacking/IT Incident,Email,No,2022
"Aesto, LLC d/b/a Aesto Health",AL,Business Associate,17400,20/05/2022,Hacking/IT Incident,Network Server,Yes,2022
"OE Enterprises, Inc.",NC,Healthcare Provider,4075,20/05/2022,Hacking/IT Incident,Email,No,2022
Alameda Health System,CA,Healthcare Provider,90000,20/05/2022,Hacking/IT Incident,Email,No,2022
Georgia Pain and Spine Care ,GA,Healthcare Provider,1056,20/05/2022,Unauthorized Access/Disclosure,Email,Yes,2022
Partnership HealthPlan of California,CA,Health Plan,854913,18/05/2022,Hacking/IT Incident,Network Server,No,2022
Bryan County Ambulance Authority,OK,Healthcare Provider,14273,18/05/2022,Hacking/IT Incident,Network Server,No,2022
Allaire Healthcare Group,NJ,Healthcare Provider,13148,17/05/2022,Hacking/IT Incident,Email,No,2022
Northern Rockies Orthopaedics,MT,Healthcare Provider,6701,17/05/2022,Hacking/IT Incident,Email,No,2022
"Heidell, Pittoni, Murphy & Bach, LLP",NY,Business Associate,114979,16/05/2022,Hacking/IT Incident,Network Server,Yes,2022
Healthcare Assistance Plan for Employees of Seventh-day Adventist Organization of the North American Division,MD,Health Plan,2008,13/05/2022,Hacking/IT Incident,Network Server,No,2022
Parker-Hannifin Corporation Group Health Plans,OH,Health Plan,119513,13/05/2022,Hacking/IT Incident,Network Server,No,2022
Schneck Medical Center ,IN,Healthcare Provider,92311,13/05/2022,Hacking/IT Incident,Network Server,No,2022
Genetics & IVF Institute ,VA,Healthcare Provider,606,11/05/2022,Hacking/IT Incident,Network Server,No,2022
Summit Healthcare Association,AZ,Healthcare Provider,1403,11/05/2022,Hacking/IT Incident,Network Server,Yes,2022
Motion Picture Industry Health Plan,CA,Health Plan,16838,11/05/2022,Unauthorized Access/Disclosure,Paper/Films,No,2022
RiverKids Pediatric Home Health,TX,Healthcare Provider,3494,10/05/2022,Hacking/IT Incident,Email,No,2022
McKenzie Health System,MI,Healthcare Provider,25318,10/05/2022,Hacking/IT Incident,Network Server,No,2022
"NuLife Med, LLC",NH,Healthcare Provider,81244,09/05/2022,Hacking/IT Incident,Network Server,No,2022
Healthfirst,NY,Health Plan,5048,09/05/2022,Unauthorized Access/Disclosure,Paper/Films,No,2022
"Mindpath Care Centers, North Carolina, PLLC ",NC,Healthcare Provider,1781,06/05/2022,Hacking/IT Incident,Email,No,2022
Mississippi Sports Medicine and Orthopaedic Center - MSMOC,MS,Healthcare Provider,500,06/05/2022,Hacking/IT Incident,Network Server,No,2022
"North Alabama Bone & Joint Clinic, P.C.",AL,Healthcare Provider,500,06/05/2022,Hacking/IT Incident,"Email, Network Server",No,2022
"Covenant Care California, LLC, on behalf of Wagner Heights Nursing and Rehabilitation Center",CA,Healthcare Provider,4676,06/05/2022,Hacking/IT Incident,Email,No,2022
"CareSource, Inc",OH,Health Plan,959,06/05/2022,Unauthorized Access/Disclosure,Laptop,Yes,2022
"Guardian Pharmacy of Cincinnati LLC dba Mullaney’s, A Guardian Pharmacy",OH,Healthcare Provider,1720,06/05/2022,Unauthorized Access/Disclosure,Email,No,2022
"Optum, Inc. ",MN,Business Associate,1584,06/05/2022,Unauthorized Access/Disclosure,Paper/Films,Yes,2022
SAC Health System,CA,Healthcare Provider,149940,05/05/2022,Theft,Paper/Films,No,2022
Greater Nashua Mental Health,NH,Healthcare Provider,1085,04/05/2022,Hacking/IT Incident,Network Server,No,2022
Vail Health Services,CO,Healthcare Provider,41889,04/05/2022,Hacking/IT Incident,Network Server,No,2022
Thompson Child & Family Focus,NC,Healthcare Provider,986,03/05/2022,Hacking/IT Incident,Network Server,No,2022
"Shutterfly, LLC",CA,Business Associate,2641,03/05/2022,Loss,Paper/Films,Yes,2022
FPS Medical Center,AZ,Healthcare Provider,28024,02/05/2022,Hacking/IT Incident,Network Server,No,2022
"National Imaging Associates, Inc.",MD,Business Associate,744,02/05/2022,Unauthorized Access/Disclosure,Laptop,Yes,2022
Methodist Le Bonheur Healthcare,TN,Healthcare Provider,1370,02/05/2022,Unauthorized Access/Disclosure,Desktop Computer,No,2022
Ad Astra Eye LLC,KS,Healthcare Provider,3684,29/04/2022,Hacking/IT Incident,Electronic Medical Record,Yes,2022
Salusive Health Inc. MyNurse,CA,Healthcare Provider,1072,29/04/2022,Hacking/IT Incident,Network Server,No,2022
Refuah Health Center,NY,Healthcare Provider,260740,29/04/2022,Hacking/IT Incident,Network Server,No,2022
"Frank Eye Center, P.A.",KS,Healthcare Provider,26333,29/04/2022,Hacking/IT Incident,Electronic Medical Record,Yes,2022
"Arkfeld, Parson, and Goldstein, P.C. doing business as ilumin",NE,Healthcare Provider,14984,29/04/2022,Hacking/IT Incident,Electronic Medical Record,Yes,2022
The People Concern,CA,Healthcare Provider,7600,28/04/2022,Hacking/IT Incident,Email,No,2022
"Northern Eye Care Associates, P.C.",MI,Healthcare Provider,8000,28/04/2022,Hacking/IT Incident,Network Server,Yes,2022
"Sterling Healthcare Holdings, LLC DBA Cordant Health Solutions",CO,Healthcare Provider,500,28/04/2022,Hacking/IT Incident,Email,No,2022
Affiliated Eye Surgeons,MI,Healthcare Provider,23400,28/04/2022,Hacking/IT Incident,Network Server,No,2022
"Allied Eye Physicians and Surgeons, Inc.",OH,Healthcare Provider,20651,27/04/2022,Hacking/IT Incident,Network Server,Yes,2022
Southern Ohio Medical Center,OH,Healthcare Provider,15136,26/04/2022,Hacking/IT Incident,Network Server,No,2022
"Select Benefits Group, LLC dba Dental Select",UT,Business Associate,1035,26/04/2022,Hacking/IT Incident,Email,Yes,2022
Montefiore Medical Center ,NY,Healthcare Provider,3717,22/04/2022,Unauthorized Access/Disclosure,Electronic Medical Record,No,2022
The Mental Health Center of Greater Manchester,NH,Healthcare Provider,1322,22/04/2022,Hacking/IT Incident,Network Server,Yes,2022
"Illinois Gastroenterology Group, PLLC",IL,Healthcare Provider,227943,22/04/2022,Hacking/IT Incident,Network Server,No,2022
"National Imaging Associates, Inc.",MD,Business Associate,616,22/04/2022,Unauthorized Access/Disclosure,Laptop,Yes,2022
"Homestead Bldg Sys,Inc.Health  Plan",VA,Health Plan,727,21/04/2022,Hacking/IT Incident,Network Server,No,2022
The Energy Cooperative Group Benefits Plan,OH,Health Plan,875,21/04/2022,Hacking/IT Incident,Network Server,No,2022
County of Los Angeles Department of Mental Health,CA,Healthcare Provider,5129,20/04/2022,Hacking/IT Incident,Email,No,2022
"Healthplex, Inc.",NY,Health Plan,89955,20/04/2022,Hacking/IT Incident,Email,No,2022
"Wayne Family Practice Associates, PC",GA,Healthcare Provider,5944,19/04/2022,Hacking/IT Incident,Network Server,No,2022
"Fairfield County Implants and Periodontics, LLC",CT,Healthcare Provider,10502,19/04/2022,Hacking/IT Incident,Email,No,2022
"Optima Dermatology Holdings, LLC",NH,Healthcare Provider,59872,18/04/2022,Hacking/IT Incident,Email,No,2022
"HealthActions, P.A.",AL,Healthcare Provider,2369,18/04/2022,Hacking/IT Incident,Email,No,2022
Canon Business Process Services Inc,NY,Business Associate,1625,15/04/2022,Unauthorized Access/Disclosure,Paper/Films,Yes,2022
Canon Business Process Services Inc,NY,Business Associate,745,15/04/2022,Unauthorized Access/Disclosure,Paper/Films,Yes,2022
Canon Business Process Services Inc,NY,Business Associate,8015,15/04/2022,Unauthorized Access/Disclosure,Paper/Films,Yes,2022
Spectrum Health System,MI,Healthcare Provider,794,15/04/2022,Unauthorized Access/Disclosure,Electronic Medical Record,No,2022
New Creation Counseling Center ,OH,Healthcare Provider,24029,14/04/2022,Hacking/IT Incident,"Network Server, Other",No,2022
Newman Regional Health,KS,Healthcare Provider,52224,14/04/2022,Hacking/IT Incident,Email,No,2022
Onehome Health Solutions,FL,Healthcare Provider,15401,13/04/2022,Theft,Laptop,No,2022
Lutheran Services Carolinas,NC,Business Associate,1226,12/04/2022,Hacking/IT Incident,Network Server,Yes,2022
Adaptive Health Integrations,ND,Healthcare Provider,510574,11/04/2022,Hacking/IT Incident,Network Server,No,2022
Chinese Community Health Plan ,CA,Health Plan,502,11/04/2022,Unauthorized Access/Disclosure,Paper/Films,No,2022
Von Behren & Hunter LLP,CA,Business Associate,5852,11/04/2022,Hacking/IT Incident,Network Server,Yes,2022
Altoona Area School District Health Plan,PA,Health Plan,9196,11/04/2022,Hacking/IT Incident,Network Server,No,2022
The MetroHealth System,OH,Healthcare Provider,1748,11/04/2022,Unauthorized Access/Disclosure,"Electronic Medical Record, Email, Paper/Films",No,2022
"Pediatric Associates, P.C.",VA,Healthcare Provider,13000,08/04/2022,Hacking/IT Incident,Network Server,Yes,2022
Ballad Health,TN,Healthcare Provider,4295,08/04/2022,Hacking/IT Incident,Email,No,2022
Georgia Pines CSB,GA,Healthcare Provider,24000,08/04/2022,Theft,"Laptop, Other",No,2022
East Tennessee Children's Hospital,TN,Healthcare Provider,501,07/04/2022,Hacking/IT Incident,Network Server,No,2022
SummaCare Inc,OH,Health Plan,716,07/04/2022,Unauthorized Access/Disclosure,Network Server,No,2022
Bishop Eye Center,SC,Healthcare Provider,2292,07/04/2022,Hacking/IT Incident,Network Server,No,2022
Advantage Benefits Group,MI,Business Associate,7147,06/04/2022,Hacking/IT Incident,Email,Yes,2022
State of Arizona Department of Administration,AZ,Health Plan,820,05/04/2022,Unauthorized Access/Disclosure,Paper/Films,Yes,2022
River City Insurance Group d/b/a Lavinder Group & Associates,VA,Business Associate,1118,05/04/2022,Hacking/IT Incident,Email,Yes,2022
Urgent Team Holdings,TN,Healthcare Provider,166601,31/03/2022,Hacking/IT Incident,Network Server,No,2022
Englewood Health,NJ,Healthcare Provider,3901,30/03/2022,Hacking/IT Incident,Network Server,No,2022
Resources for Human Development,PA,Healthcare Provider,46673,29/03/2022,Theft,Other Portable Electronic Device,No,2022
"Law Enforcement Health Benefits, Inc.",PA,Health Plan,85282,28/03/2022,Hacking/IT Incident,Network Server,No,2022
Medical Surgical Eye Care,KS,Healthcare Provider,2000,28/03/2022,Hacking/IT Incident,Network Server,No,2022
"Super Care, Inc. dba SuperCare Health",CA,Healthcare Provider,317863,28/03/2022,Hacking/IT Incident,Network Server,No,2022
"Charleston Area Medical Center, Inc.",WV,Healthcare Provider,54000,28/03/2022,Hacking/IT Incident,Email,No,2022
"Colorado Physician Partners, PLLC",CO,Healthcare Provider,12877,25/03/2022,Hacking/IT Incident,Email,No,2022
Lutheran Social Services of Illinois,IL,Healthcare Provider,1000,25/03/2022,Hacking/IT Incident,Network Server,No,2022
"Christie Business Holdings Company, P.C.",IL,Healthcare Provider,502869,25/03/2022,Hacking/IT Incident,Email,No,2022
Advanced Medical Practice Management,NJ,Business Associate,56427,23/03/2022,Hacking/IT Incident,Network Server,Yes,2022
"Thomas Allen, Inc.",MN,Healthcare Provider,2803,23/03/2022,Hacking/IT Incident,Email,No,2022
Taylor Regional Hospital ,KY,Healthcare Provider,190209,21/03/2022,Hacking/IT Incident,Network Server,No,2022
Livingston Memorial VNA Health Corporation and its affiliates Livingston Memorial Visiting Nurse Association and Livingston CareGivers,CA,Healthcare Provider,34775,21/03/2022,Hacking/IT Incident,Network Server,No,2022
Valley View Hospital Association,CO,Healthcare Provider,501,19/03/2022,Hacking/IT Incident,Email,No,2022
Cancer and Hematology Centers of Western Michigan ,MI,Healthcare Provider,43071,18/03/2022,Hacking/IT Incident,Network Server,No,2022
Wheeling Health Right Inc,WV,Healthcare Provider,3912,18/03/2022,Hacking/IT Incident,Network Server,No,2022
"Clinic of North Texas, LLP",TX,Healthcare Provider,244174,18/03/2022,Hacking/IT Incident,Network Server,No,2022
Central Minnesota Mental Health Center,MN,Healthcare Provider,28725,17/03/2022,Hacking/IT Incident,Email,No,2022
Eye Group of Southern Indiana,IN,Healthcare Provider,4002,15/03/2022,Hacking/IT Incident,Network Server,No,2022
Laboratorio Clinico Toledo,,Healthcare Provider,500,14/03/2022,Hacking/IT Incident,Network Server,No,2022
"Trinity Home Care, Inc.",MA,Healthcare Provider,1541,14/03/2022,Hacking/IT Incident,Network Server,No,2022
Capital Region Medical Center,MO,Healthcare Provider,17578,11/03/2022,Hacking/IT Incident,Network Server,No,2022
Major League Baseball Players Benefit Plan,MD,Health Plan,13156,11/03/2022,Hacking/IT Incident,Network Server,Yes,2022
Labette Health,KS,Healthcare Provider,85635,11/03/2022,Hacking/IT Incident,Network Server,No,2022
"Dialyze Direct, LLC",NJ,Healthcare Provider,14203,10/03/2022,Hacking/IT Incident,Email,No,2022
New Jersey Brain and Spine,NJ,Healthcare Provider,92453,10/03/2022,Hacking/IT Incident,Network Server,No,2022
"Gainwell Technologies, LLC",TX,Business Associate,810,10/03/2022,Unauthorized Access/Disclosure,Network Server,Yes,2022
"Gainwell Technologies, LLC",TX,Business Associate,1955,10/03/2022,Unauthorized Access/Disclosure,Network Server,Yes,2022
"Parkland Community Health Plan, Inc.",TX,Health Plan,1682,08/03/2022,Unauthorized Access/Disclosure,Paper/Films,Yes,2022
Central Indiana Orthopedics,IN,Healthcare Provider,83705,07/03/2022,Hacking/IT Incident,Network Server,No,2022
"South Denver Cardiology Associates, PC",CO,Healthcare Provider,287652,04/03/2022,Hacking/IT Incident,Network Server,No,2022
"Duncan Regional Hospital, Incorporated",OK,Healthcare Provider,86379,04/03/2022,Hacking/IT Incident,Network Server,No,2022
"Indiana Hemophilia and Thrombosis Center, Inc.",IN,Healthcare Provider,2575,04/03/2022,Hacking/IT Incident,Email,No,2022
Familylinks,PA,Healthcare Provider,1494,04/03/2022,Hacking/IT Incident,"Electronic Medical Record, Network Server",Yes,2022
University of Michigan/Michigan Medicine,MI,Healthcare Provider,2921,03/03/2022,Hacking/IT Incident,Email,No,2022
"Molecular Pathology Laboratory Network, Inc.",TN,Healthcare Provider,339471,03/03/2022,Hacking/IT Incident,Network Server,No,2022
Crossroads Health,OH,Healthcare Provider,10324,02/03/2022,Hacking/IT Incident,Network Server,No,2022
"LGAA, LLC",UT,Health Plan,864,01/03/2022,Hacking/IT Incident,Network Server,No,2022
"Monongalia Health System, Inc.",WV,Healthcare Provider,492861,28/02/2022,Hacking/IT Incident,Network Server,No,2022
"UMass Memorial Health, Inc.",MA,Business Associate,4270,28/02/2022,Hacking/IT Incident,Email,Yes,2022
Montrose Regional Health,CO,Healthcare Provider,52632,25/02/2022,Hacking/IT Incident,Email,No,2022
"First Step of Sarasota, Inc.",FL,Healthcare Provider,1858,25/02/2022,Hacking/IT Incident,Network Server,No,2022
Norwood Clinic,AL,Healthcare Provider,228000,25/02/2022,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,2022
Bako Diagnostics,GA,Healthcare Provider,25745,25/02/2022,Hacking/IT Incident,Network Server,No,2022
University Medical Center Southern Nevada,NV,Healthcare Provider,12230,24/02/2022,Hacking/IT Incident,Email,Yes,2022
Houston Health Department,TX,Healthcare Provider,10291,24/02/2022,Unauthorized Access/Disclosure,Electronic Medical Record,No,2022
"Ultimate Care, Inc.",NY,Healthcare Provider,15788,23/02/2022,Hacking/IT Incident,Email,No,2022
Cooperman Barnabas Medical Center,NJ,Healthcare Provider,538,23/02/2022,Hacking/IT Incident,Email,Yes,2022
"Alliance Physical Therapy Group, LLC",MI,Business Associate,197588,23/02/2022,Hacking/IT Incident,Network Server,Yes,2022
"Community Association of Progressive Dominicans, Inc. ",NY,Healthcare Provider,656,23/02/2022,Hacking/IT Incident,Email,No,2022
Zoe Therapy Services  ,VA,Healthcare Provider,1100,23/02/2022,Hacking/IT Incident,Email,No,2022
Logan Health Medical Center,MT,Healthcare Provider,213543,22/02/2022,Hacking/IT Incident,Network Server,No,2022
Ascension Michigan (single affiliated covered entity) ACE,MI,Healthcare Provider,27177,22/02/2022,Unauthorized Access/Disclosure,Electronic Medical Record,No,2022
Memorial village er,TX,Healthcare Provider,80000,19/02/2022,Hacking/IT Incident,Network Server,No,2022
"US Radiology Specialists, Inc.",NC,Business Associate,87552,18/02/2022,Hacking/IT Incident,Network Server,Yes,2022
"Bible Fellowship Church Homes, Inc. dba Fellowship Community",PA,Healthcare Provider,3500,18/02/2022,Hacking/IT Incident,Network Server,No,2022
"Town Home Care, LLC",NJ,Healthcare Provider,5591,17/02/2022,Hacking/IT Incident,Network Server,No,2022
Jersey City Medical Center,NJ,Healthcare Provider,1130,15/02/2022,Hacking/IT Incident,Email,Yes,2022
Aetna ACE,CT,Health Plan,893,15/02/2022,Hacking/IT Incident,Network Server,Yes,2022
Cooper University Health Care,NJ,Healthcare Provider,1039,14/02/2022,Hacking/IT Incident,Email,No,2022
Family Fare LLC,MI,Healthcare Provider,3892,11/02/2022,Hacking/IT Incident,Network Server,Yes,2022
CVS Pharmacy,RI,Healthcare Provider,6221,11/02/2022,Hacking/IT Incident,Network Server,No,2022
"Jacksonville Spine Center, P.A.",FL,Healthcare Provider,38000,10/02/2022,Hacking/IT Incident,Network Server,No,2022
"Summit BHC West Virginia, LLC d/b/a Highland Hospital",WV,Healthcare Provider,1298,10/02/2022,Hacking/IT Incident,Email,No,2022
Seneca Nation Health System,NY,Healthcare Provider,12000,08/02/2022,Hacking/IT Incident,Network Server,No,2022
South Shore Hospital Corporation,IL,Healthcare Provider,115175,07/02/2022,Hacking/IT Incident,Network Server,No,2022
"Cross Timbers Health Clinics, Inc/ d/b/a AccelHealth",TX,Healthcare Provider,48126,07/02/2022,Hacking/IT Incident,Network Server,No,2022
Hofmann Arthritis Institute PLLC and Hofmann Arthritis Institute of Nevada PLLC ,UT,Healthcare Provider,13320,04/02/2022,Hacking/IT Incident,Network Server,Yes,2022
Oklahoma Healthcare Authority (OHCA),OK,Health Plan,8629,03/02/2022,Unauthorized Access/Disclosure,Network Server,Yes,2022
"Morley Companies, Inc.",MI,Business Associate,521046,01/02/2022,Hacking/IT Incident,Network Server,Yes,2022
North Shore University Hospital,NY,Healthcare Provider,7614,01/02/2022,Unauthorized Access/Disclosure,Electronic Medical Record,No,2022
"Catholic Hospice, Inc.",FL,Healthcare Provider,14986,31/01/2022,Hacking/IT Incident,Email,No,2022
Family Christian Health Center,IL,Healthcare Provider,31000,28/01/2022,Hacking/IT Incident,Network Server,No,2022
Spencer Gifts LLC Health and Welfare Benefit Plan,NJ,Health Plan,10023,24/01/2022,Hacking/IT Incident,Network Server,No,2022
OneDigital OBO Guardian Life Insurance Company of America,NY,Business Associate,800,24/01/2022,Hacking/IT Incident,Network Server,Yes,2022
"Medical Healthcare Solutions, Inc. ",MA,Business Associate,133997,22/01/2022,Hacking/IT Incident,Network Server,Yes,2022
Walgreen Co.,IL,Healthcare Provider,1471,21/01/2022,Unauthorized Access/Disclosure,Paper/Films,No,2022
University of Arkansas for Medical Sciences ,AR,Healthcare Provider,518,21/01/2022,Unauthorized Access/Disclosure,Email,No,2022
"Allegheny Health Network Home Infusion, LLC",PA,Healthcare Provider,15342,21/01/2022,Hacking/IT Incident,Network Server,Yes,2022
"Advocates, Inc.",MA,Healthcare Provider,68236,21/01/2022,Hacking/IT Incident,Network Server,No,2022
"DataHEALTH, Inc.",TX,Business Associate,2459,20/01/2022,Hacking/IT Incident,Network Server,Yes,2022
Medical Review Institute of America,UT,Business Associate,2406,20/01/2022,Hacking/IT Incident,Network Server,Yes,2022
"Walworth County, Wisconsin",WI,Healthcare Provider,500,18/01/2022,Hacking/IT Incident,Email,No,2022
Raveco Medical,NY,Healthcare Provider,4897,17/01/2022,Hacking/IT Incident,Network Server,No,2022
"Fiondella, Milone & LaSaracina, LLP",CT,Business Associate,6215,14/01/2022,Hacking/IT Incident,Network Server,Yes,2022
Albany Family Dentistry,MN,Healthcare Provider,1117,14/01/2022,Hacking/IT Incident,Email,No,2022
South City Hospital,MO,Healthcare Provider,21601,14/01/2022,Theft,"Network Server, Other",No,2022
"Vantage Holding Company, LLC",PA,Healthcare Provider,1762,14/01/2022,Hacking/IT Incident,Network Server,No,2022
"Digital Insurance, LLC doing business as OneDigital",GA,Business Associate,2051,14/01/2022,Hacking/IT Incident,Network Server,Yes,2022
Oscar Insurance Corporation of Ohio,OH,Health Plan,504,13/01/2022,Unauthorized Access/Disclosure,Paper/Films,No,2022
Oscar Health Plan of California,NJ,Health Plan,7632,13/01/2022,Unauthorized Access/Disclosure,Paper/Films,No,2022
Oscar Buckeye State Insurance Corporation,OH,Health Plan,791,13/01/2022,Unauthorized Access/Disclosure,Paper/Films,No,2022
Millennium Eye Care LLC,NJ,Healthcare Provider,6050,13/01/2022,Hacking/IT Incident,Network Server,No,2022
"Lakeshore Bone & Joint Institute, PC",IN,Healthcare Provider,23627,10/01/2022,Hacking/IT Incident,Email,No,2022
Medical Review Institute of America,UT,Business Associate,134571,07/01/2022,Hacking/IT Incident,Network Server,Yes,2022
DataXport,TX,Business Associate,8181,07/01/2022,Hacking/IT Incident,Network Server,Yes,2022
"Advent Health Partners, Inc.",TN,Business Associate,1383,06/01/2022,Hacking/IT Incident,Email,Yes,2022
"Houston Area Community Services, Inc. d/b/a Avenue 360 Health and Wellness",TX,Healthcare Provider,12186,05/01/2022,Hacking/IT Incident,Email,No,2022
Ravkoo,FL,Healthcare Provider,105000,03/01/2022,Hacking/IT Incident,Other,No,2022
"Sherrill House, Inc.",MA,Healthcare Provider,5006,03/01/2022,Hacking/IT Incident,Email,No,2022
North Broward Hospital District d/b/a Broward Health (“Broward Health”),FL,Healthcare Provider,1351431,02/01/2022,Hacking/IT Incident,Network Server,No,2022
"Virtual Private Network Solutions, LLC d/b/a VPN Solutions, LLC",VA,Business Associate,500,30/12/2021,Hacking/IT Incident,Network Server,Yes,2021
Barlow Respiratory Hospital,CA,Healthcare Provider,9880,30/12/2021,Hacking/IT Incident,Network Server,No,2021
Loyola University Medical Center,IL,Healthcare Provider,16934,30/12/2021,Hacking/IT Incident,Email,No,2021
"Hoya Optical Labs of America, Inc.",TX,Business Associate,14099,29/12/2021,Hacking/IT Incident,Network Server,Yes,2021
Douglas C Morrow ODPC,IN,Healthcare Provider,5269,28/12/2021,Hacking/IT Incident,Network Server,No,2021
"Pithadia Medical Professional Services, Inc.",IN,Healthcare Provider,1624,28/12/2021,Hacking/IT Incident,Network Server,No,2021
Advocate Aurora Health,WI,Healthcare Provider,1729,28/12/2021,Loss,Paper/Films,No,2021
Walgreen Co.,IL,Healthcare Provider,1352,27/12/2021,Loss,Paper/Films,No,2021
"Fertility Centers of Illinois, PLLC",IL,Healthcare Provider,79943,27/12/2021,Hacking/IT Incident,Network Server,No,2021
C.E. Niehoff & Company ,IL,Health Plan,1509,23/12/2021,Hacking/IT Incident,Network Server,No,2021
Duneland School Corporation,IN,Health Plan,7000,23/12/2021,Hacking/IT Incident,Network Server,No,2021
"Daniel J. Edelman Holdings, Inc.",IL,Health Plan,184500,22/12/2021,Hacking/IT Incident,Network Server,Yes,2021
"James Kagan, MD",CO,Healthcare Provider,1310,22/12/2021,Hacking/IT Incident,Email,No,2021
Rhode Island Public Transit Authority,RI,Health Plan,5015,21/12/2021,Hacking/IT Incident,Network Server,No,2021
Chaddock,IL,Healthcare Provider,777,21/12/2021,Theft,Paper/Films,No,2021
"Monongalia Health System, Inc.",WV,Healthcare Provider,398164,21/12/2021,Hacking/IT Incident,Email,No,2021
Surgery Group SC,IL,Healthcare Provider,500,17/12/2021,Hacking/IT Incident,Network Server,Yes,2021
Northwest Broward Orthopaedics Associates,FL,Healthcare Provider,500,17/12/2021,Hacking/IT Incident,"Desktop Computer, Network Server",No,2021
Texas ENT Specialists,TX,Healthcare Provider,535489,10/12/2021,Hacking/IT Incident,Network Server,No,2021
"Eduro Healthcare, LLC",UT,Healthcare Provider,8059,09/12/2021,Hacking/IT Incident,Email,No,2021
"Weddell Pediatric Dental Specialists, LLC",IN,Healthcare Provider,5356,08/12/2021,Hacking/IT Incident,Email,No,2021
Javery Pain Institute ,MI,Healthcare Provider,1387,08/12/2021,Hacking/IT Incident,Email,No,2021
"Summit Surgical, LLC",KS,Healthcare Provider,4910,07/12/2021,Hacking/IT Incident,Network Server,No,2021
"Oregon Anesthesiology Group, P.C.",OR,Healthcare Provider,750500,06/12/2021,Hacking/IT Incident,Network Server,No,2021
Nippon Life Insurance Company of America,NY,Health Plan,4109,03/12/2021,Unauthorized Access/Disclosure,Email,No,2021
"Bansley and Kiener, LLP",IL,Business Associate,50119,03/12/2021,Hacking/IT Incident,Network Server,Yes,2021
"Bansley and Kiener, LLP",IL,Business Associate,2297,03/12/2021,Hacking/IT Incident,Network Server,Yes,2021
"Bansley and Kiener, LLP",IL,Business Associate,2711,03/12/2021,Hacking/IT Incident,Network Server,Yes,2021
"Bansley and Kiener, LLP",IL,Business Associate,15814,03/12/2021,Hacking/IT Incident,Network Server,Yes,2021
Mertz Manufacturing Inc Health Insurance Plan,OK,Health Plan,868,03/12/2021,Hacking/IT Incident,Network Server,No,2021
"Great Plains Manufacturing, Inc",KS,Health Plan,4110,01/12/2021,Hacking/IT Incident,Network Server,No,2021
Commission on Economic Opportunity,NY,Business Associate,29454,30/11/2021,Hacking/IT Incident,Network Server,Yes,2021
